Date,Close,High,Low,Open,Volume
,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
2021-02-17,595.1471557617188,605.8286934948424,593.7580682110798,602.2841434082454,4700733
2021-02-18,590.1655883789062,600.8950128168382,588.2975092874163,595.8656005931819,5633766
2021-02-19,581.783203125,596.1529515562316,575.9395288178949,590.0218939746331,7301975
2021-02-22,570.2874145507812,585.1840423293668,565.5933317285895,582.4538134670031,5330343
2021-02-23,578.6697998046875,582.7891162943895,567.1261127510987,570.0000626467969,7564187
2021-02-24,576.1790161132812,583.7470484262017,570.814275029147,581.5915861933591,3296243
2021-02-25,583.9386596679688,592.8958378513965,577.3764980036013,580.9210476093717,6261754
2021-02-26,569.6167602539062,595.2428096357226,565.2100611316489,579.5319209849625,15404415
2021-03-01,579.0530395507812,585.1362103504387,571.963939471079,574.7900020084196,5274758
2021-03-02,588.3933715820312,590.45300065424,579.100921608979,583.4118465837356,4776776
2021-03-03,598.116943359375,599.1228727579736,586.5253670076789,590.59679666841,6626297
2021-03-04,592.9437255859375,609.9958152041485,590.1176633934126,595.8655627121796,11530735
2021-03-05,585.5194091796875,593.4227714657736,581.4000926519809,593.4227714657736,6127488
2021-03-08,588.9680786132812,595.7697946344886,585.6151373054154,585.8067456457104,4554461
2021-03-09,586.8604736328125,594.8117808162481,581.9747827951393,592.033606201475,4035628
2021-03-10,599.6974487304688,601.5176400941091,589.4949048486309,592.0335835709739,5825924
2021-03-12,587.8185424804688,602.7152299011617,585.8068008942805,601.6135256935538,4264170
2021-03-15,580.0588989257812,588.2017571270515,571.4370490656128,588.2017571270515,4030762
2021-03-16,576.9932250976562,584.3218193998414,574.0713882574762,580.5377743579984,4189930
2021-03-17,560.1806640625,578.6218402629329,557.5462103195811,578.6218402629329,7667561
2021-03-18,550.4093017578125,566.6950181074479,547.9664559994994,562.7194224339044,5537584
2021-03-19,554.0016479492188,558.1689097641855,538.4823091130821,547.0083825978771,6186643
2021-03-22,566.1680908203125,568.6588238383661,554.2890753403886,554.2890753403886,7033955
2021-03-23,563.1503295898438,569.7125487632416,558.504135045052,566.3596079868132,5341729
2021-03-24,560.7075805664062,571.915996206289,558.6958391438931,560.4201972875696,7299582
2021-03-25,551.5588989257812,563.2463071755272,547.487469797801,559.8454780686409,4710869
2021-03-26,562.5277709960938,565.497495655917,550.4571470730921,556.44454233133,5761818
2021-03-30,572.586669921875,573.8320366043458,562.5757320465812,569.9522156636748,4637718
2021-03-31,572.6824340820312,580.5379092344518,570.670692438296,573.0656508097253,5269919
2021-04-01,585.0882568359375,586.956335825738,572.2512581851264,574.7899371290422,6033653
2021-04-05,583.2201538085938,586.2378242424097,567.8445353182325,585.9983284451434,5353987
2021-04-06,594.3807983398438,595.769885931529,578.142968395014,583.1723811275307,7444994
2021-04-07,594.95556640625,601.9967793310738,590.2614829270327,594.907678931387,4757224
2021-04-08,588.441162109375,599.6974643556675,587.5310664038421,594.4764443855971,3222479
2021-04-09,609.9957885742188,615.0252002585763,583.8907469744584,587.2436880973634,16755446
2021-04-12,593.3268432617188,618.7133968521352,589.351248253535,612.1512356330618,15229597
2021-04-13,600.99072265625,608.8461964011736,590.2134119158328,597.7815024018091,7399207
2021-04-15,606.6428833007812,614.5462449861053,600.1764964673343,606.9781540446234,8588761
